facility_id,facility_name,brand,model,description,type,use,panel_count,panel_size,np_total_storage_capacity_wh,storage_type,battery_corrosion,battery_dust,inverter_manufacturer,np_inverter_output_va,charge_controller,funding,installer,functional_donation,installation_year,functional_now,failure_year,disfunction_part,disfunction_cause,repair_duty,repair_wait_time,repair_success,maintenance_by,spare_parts,remote_monitoring,functional_but_unused_reason,notes,images
11,Nthungwa,Sun King,Home 600,NA,"Solar, Battery","lights, usb",1,large,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business Paul norrish,"20250814_155058.jpg, 20250814_155202.jpg"
11,Nthungwa,B Medical,TCW80SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2016,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,Unicef never comes for repair themselves,"20250814_155331.jpg, 20250814_155551.jpg, 20250814_155611.jpg, 20250814_155901.jpg"
11,Nthungwa,Easypower,WD20181806EP,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,24,large,19200,sealed-lead-acid-gel,no,yes,Easypower,10000,yes,"USAID, UKAID",Donor,yes,2018,No,2021,Inverter or battery old age/poor quality,NA,DHO/MoH/Gov,never,No,no,no,yes,NA,"SIAB still used for storage but suboptimal conditions, remote monitoring to donor. German funds are incoming to repair the system. Planned to be running again within 9 months","20250814_155938.jpg, 20250814_155945.jpg, 20250814_160014.jpg, 20250814_160943.jpg, 20250814_161551.jpg, 20250814_161629.jpg, 20250814_162226.jpg"
11,Nthungwa,NA,NA,Solar water pump,Solar,Water Pumps,4,large,NA,NA,NA,NA,NA,NA,NA,"UNICEF, EU",Donor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,staff clean panels,no,no,NA,NA,"20250814_161602.jpg, 20250814_161748.jpg, 20250814_161802.jpg, 20250814_161808.jpg, 20250814_161903.jpg"
11,Nthungwa,TBEA Sunoasis,XNY-TZJ-200G,NA,"Solar, Battery","device charging, lighting",1,medium,NA,NA,NA,NA,TBEA,200,yes,China Aid,MoH,yes,2014,No,2025,"battery, dc-dc converter",age,DHO/MoH/Gov,never,No,no,no,no,NA,NA,"20250814_161802.jpg, 20250814_162430.jpg, 20250814_162434.jpg"
11,Nthungwa,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,Africa CDC,Donor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250814_162838.jpg, 20250814_162845.jpg, 20250814_162858.jpg, 20250814_163616.jpg"
12,Mangunda,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,long time ago,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
12,Mangunda,Growatt,NA,NA,"Solar, Battery, Inverter",AC device charging,9,large,9600,sealed-lead-acid-gel,no,yes,Growatt,5000,yes,EGPAF,"Donor, DHO",yes,2021,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,yes,NA,"egpaf changed batteries, even though they were working. Reason unknown","20251002_093024.jpg, 20251002_093443.jpg, 20251002_093449.jpg, 20251002_093500.jpg, 20251002_093507.jpg, 20251002_093528.jpg, 20251002_093531.jpg, 20251002_093539.jpg, 20251002_093552.jpg, 20251002_093602.jpg, 20251002_093620.jpg, 20251002_093645.jpg, 20251002_093654.jpg, 20251002_093743.jpg"
12,Mangunda,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,12,large,9600,sealed-lead-acid-gel,no,yes,Mecer,5000,yes,Global Fund,Donor,yes,2017,No,2022,Safety Switches,NA,DHO/MoH/Gov,never,No,DHO,no,yes,NA,NA,"20251002_095041.jpg, 20251002_095045.jpg, 20251002_095054.jpg, 20251002_095322.jpg, 20251002_100521.jpg, 20251002_100528.jpg, 20251002_100630.jpg"
12,Mangunda,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20251002_100727.jpg, 20251002_100818.jpg, 20251002_100822.jpg, 20251002_101149.jpg"
12,Mangunda,B Medical,TCW3043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,2,large,NA,NA,NA,NA,NA,NA,NA,UNICEF,Contractor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,yes,NA,NA,"20251002_101301.jpg, 20251002_101307.jpg, 20251002_101317.jpg, 20251002_101348.jpg"
14,Thowela,Full Sircle Solar,NA,NA,"Solar, Battery, Inverter","AC device charging, lights, vaccine fridge, everything",10,large,10240,lithium-ion,no,no,Full Sircle Solar,5000,yes,Africa Sotto Sopra,Contractor,yes,2019,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,no,NA,NA,"20251002_121406.jpg, 20251002_121411.jpg, 20251002_121420.jpg, 20251002_121426.jpg, 20251002_121434.jpg, 20251002_121439.jpg, 20251002_121444.jpg, 20251002_121449.jpg, 20251002_121455.jpg, 20251002_121501.jpg, 20251002_121509.jpg, 20251002_121521.jpg, 20251002_121536.jpg, 20251002_121548.jpg, 20251002_121609.jpg, 20251002_121649.jpg"
15,Khonjeni,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
15,Khonjeni,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20251002_153936.jpg, 20251002_154230.jpg"
15,Khonjeni,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,12,large,9600,sealed-lead-acid-gel,yes,yes,Mecer,5000,yes,Global Fund,Donor,yes,2017,No,2024,Battery,age,DHO/MoH/Gov,never,No,DHO,no,yes,NA,NA,"20251002_154406.jpg, 20251002_154410.jpg, 20251002_154425.jpg, 20251002_154428.jpg, 20251002_154433.jpg, 20251002_154446.jp"
15,Khonjeni,Unitron Energy,NA,NA,"Solar, Battery, Inverter",AC device charging,4,medium,NA,NA,NA,NA,NA,NA,no,MoH,Contractor,yes,2008,No,2012,NA,NA,DHO/MoH/Gov,never,No,NA,no,no,NA,NA,"20251002_155559.jpg, 20251002_155606.jpg, 20251002_155807.jpg, 20251002_161508.jpg"
15,Khonjeni,NA,NA,NA,Generator,AC device charging,NA,NA,NA,gasoline,NA,NA,NA,7000,NA,Global Fund,Contractor,yes,2017,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,yes,no,There is rarely any fuel because it is expensive and the comittee members have to pay it off their salary,NA,"20251002_160308.jpg, 20251002_160313.jpg, 20251002_160319.jpg, 20251002_160326.jpg, 20251002_160330.jpg, 20251002_160400.jpg, 20251002_160413.jpg"
15,Khonjeni,NA,NA,Solar water pump,Solar,Water Pumps,4,large,NA,NA,NA,NA,NA,NA,NA,"UNICEF, EU",Contractor,yes,2018,No,2021,Control box,shorting,DHO/MoH/Gov,never,No,DHO,no,no,NA,NA,"20251002_161530.jpg, 20251002_161550.jpg"
15,Khonjeni,B Medical,NA,Solar Vaccine Fridge,Solar,vaccine fridge,2,large,NA,NA,NA,NA,NA,NA,NA,UNICEF,Contractor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,yes,no,NA,NA,"20251002_162500.jpg, 20251002_162503.jpg, 20251002_162509.jpg, 20251002_162557.jpg, 20251002_162633.jpg"
15,Khonjeni,Vestfrost,NA,Solar Vaccine Fridge,Solar,vaccine fridge,2,large,NA,NA,NA,NA,NA,NA,NA,MoH,MoH,yes,2022,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,yes,yes,NA,NA,"20251002_162411.jpg, 20251002_162419.jpg, 20251002_162643.jpg"
15,Khonjeni,Yingli Solar,NA,Solar Vaccine Fridge,"Solar, Battery",Cold packs,2,medium,NA,NA,NA,NA,NA,NA,NA,Gavi,Contractor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,yes,no,NA,NA,"20251002_162444.jpg, 20251002_162557.jpg, 20251002_162558.jpg"
15,Khonjeni,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,9,large,9600,sealed-lead-acid-gel,no,yes,Mecer,5000,yes,EGPAF,Donor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,no,NA,NA,"20251002_162849.jpg, 20251002_162852.jpg, 20251002_162859.jpg, 20251002_162909.jpg, 20251002_162916.jpg, 20251002_162934.jpg, 20251002_162938.jpg, 20251002_162941.jpg, 20251002_162944.jpg, 20251002_162949.jpg, 20251002_162951.jpg,_"
15,Khonjeni,NA,NA,Wireless Message,Solar,Communication,1,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,2010,No,2013,battery,NA,DHO/MoH/Gov,never,No,DHO,NA,no,NA,NA,"20251002_164619.jpg, 20251002_164638.jpg"
15,Khonjeni,NA,NA,unknown system,Solar,NA,4,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,DHO/MoH/Gov,NA,NA,NA,NA,NA,NA,NA,20251002_165026.jpg
15,Khonjeni,NA,NA,unknown system,Solar,NA,2,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,DHO/MoH/Gov,NA,NA,NA,NA,NA,NA,NA,20251002_165030.jpg
16,Mapanga,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20251003_111857.jpg, 20251003_120125.jpg"
16,Mapanga,NA,NA,Solar water pump,Solar,Water Pumps,4,large,NA,NA,NA,NA,NA,NA,NA,"UNICEF, EU",Contractor,yes,2019,Yes,2021,pump,stolen,Donor,2023,NA,DHO,no,no,NA,NA,"20251003_120928.jpg, 20251003_122254.jpg, 20251003_122301.jpg, 20251003_122318.jpg, 20251003_122335.jpg, 20251003_122400.jpg, 20251003_122404.jpg"
16,Mapanga,NA,NA,Solar water pump,Solar,Water Pumps,0,NA,NA,NA,NA,NA,NA,NA,NA,MoH,DHO,no,2010,No,2010,solar panel,not installed,DHO/MoH/Gov,never,No,NA,no,no,NA,NA,NA
16,Mapanga,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,12,large,10560,flooded lead-acid,no,no,Mecer,5000,yes,Global Fund,Donor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,yes,no,NA,only used for one laptop j2 ebn. More usage prohibited by EGPAF,"20251003_120400.jpg, 20251003_120412.jpg, 20251003_120417.jpg, 20251003_120422.jpg, 20251003_120423.jpg, 20251003_120426.jpg, 20251003_120427.jpg, 20251003_120429.jpg, 20251003_120431.jpg, 20251003_120432.jpg, 20251003_120434.jpg, 20251003_120438.jpg, 20251003_122503.jpg, 20251003_123208.jpg, 20251003_123216.jpg, 20251003_123223.jpg"
16,Mapanga,Home Solar,NA,NA,"Solar, Battery, Inverter","AC device charging, lights",4,large,NA,NA,NA,NA,NA,NA,NA,JICA Japan,DHO,yes,2018,No,2021,battery,NA,DHO/MoH/Gov,never,No,DHO,no,no,NA,rest of the system removed and taken by DHO,20251003_123301.jpg
16,Mapanga,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Contractor,yes,2018,Yes,NA,NA,NA,Donor,NA,NA,no,no,no,NA,NA,"20251003_124129.jpg, 20251003_124132.jpg, 20251003_124138.jpg, 20251003_124156.jpg"
16,Mapanga,Microtek,NA,NA,"Solar, Battery, Inverter",One laptop,1,large,1680,sealed-lead-acid-gel,no,no,Microtek solar pcu,935,no,EGPAF,"Donor, DHO",yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,yes,no,NA,functional but forgotten,"20251003_124455.jpg, 20251003_124521.jpg, 20251003_124538.jpg, 20251003_124542.jpg, 20251003_124543.jpg, 20251003_124548.jpg, 20251003_124550.jpg, 20251003_124554.jpg, 20251003_124600.jpg, 20251003_124602.jpg, 20251003_124605.jpg, 20251003_124607.jpg, 20251003_124611.jpg, 20251003_124650.jpg, 20251003_124658.jpg, 20251003_124702.jpg, 20251003_124805.jpg"
17,Changata,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,2019,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
17,Changata,B Medical,TCW2000SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,Unicef never comes for repair themselves,"20251003_142400.jpg, 20251003_142428.jpg"
17,Changata,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20251003_142550.jpg, 20251003_142646.jpg"
17,Changata,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20251003_142618.jpg, 20251003_142807.jpg"
17,Changata,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,8,large,9600,sealed-lead-acid-gel,no,yes,Mecer,5000,yes,EGPAF,Donor,yes,2018,Partially,NA,batteries,low capacity,DHO/MoH/Gov,NA,NA,DHO,yes,no,NA,batteries were covered in flammables. Causing a huge fire hazard,"20251003_145314.jpg, 20251003_145335.jpg, 20251003_145453.jpg"
17,Changata,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,12,large,9600,sealed-lead-acid-gel,yes,yes,Mecer,5000,yes,Global Fund,Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,no,NA,only used for one laptop j2 ebn. More usage prohibited by EGPAF,"20251003_143525.jpg, 20251003_143534.jpg, 20251003_143541.jpg, 20251003_143727.jpg, 20251003_143730.jpg, 20251003_143749.jpg, 20251003_143751.jpg, 20251003_143754.jpg, 20251003_144718.jpg"
17,Changata,NA,NA,Solar water pump,Solar,Water Pumps,6,large,NA,NA,NA,NA,NA,NA,NA,United Purpouse,DHO,yes,2019,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,no,NA,NA,"20251003_145002.jpg, 20251003_145100.jpg"
18,Bvumbwe,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,2008,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
18,Bvumbwe,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,9,large,9600,sealed-lead-acid-gel,no,yes,Mecer,5000,yes,EGPAF,Donor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,no,NA,only used for one laptop j2 ebn. More usage prohibited by EGPAF,"20251004_104906.jpg, 20251004_105107.jpg, 20251004_105117.jpg, 20251004_105125.jpg, 20251004_105157.jpg, 20251004_105208.jpg, 20251004_105213.jpg, 20251004_105217.jpg, 20251004_1_"
18,Bvumbwe,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20251004_105334.jpg, 20251004_105415.jpg"
19,Mtimabi,Victron Energy,NA,Minigrid,"Solar, Battery, Inverter","AC device charging, lights, vaccine fridge, everything",32,large,9600,LFP,no,yes,Victron Energy,5000,yes,Gavi,Donor,yes,2025,Yes,NA,NA,NA,Unknown,NA,NA,NA,no,yes,NA,NA,"IMG-20251110-WA0026.jpg, IMG-20251110-WA0027.jpg, IMG-20251110-WA0028.jpg, IMG-20251110-WA0029.jpg, IMG-20251110-WA0030.jpg, IMG-20251110-WA0031.jpg, IMG-20251110-WA0032.jpg, IMG-20251110-WA0033.jpg, IMG-20251110-WA0034.jpg"
19,Mtimabi,Epever,NA,small solar in maternity,"Solar, Battery, Inverter",lights,1,small,4800,sealed-lead-acid-gel,no,yes,Epever,1250,yes,Innovation Africa,Donor,yes,NA,NA,NA,NA,NA,Unknown,NA,NA,no,no,no,NA,wiring is poorly done,"IMG-20251110-WA0015.jpg, IMG-20251110-WA0017.jpg, IMG-20251110-WA0018.jpg, IMG-20251110-WA0019.jpg, IMG-20251110-WA0020.jpg"
19,Mtimabi,Sun King,NA,sun king maternity,"Solar, Battery","lights, usb",1,medium,140,lithium-ion,no,no,NA,NA,NA,Innovation Africa,Donor,yes,2022,Yes,NA,NA,NA,Donor,NA,NA,no,no,no,NA,NA,"IMG-20251110-WA0008.jpg, IMG-20251110-WA0009.jpg"
19,Mtimabi,Sun King,NA,sun king maternity,"Solar, Battery","lights, usb",1,medium,140,lithium-ion,no,no,NA,NA,NA,Innovation Africa,Donor,yes,2022,Yes,NA,NA,NA,Donor,NA,NA,no,no,no,NA,NA,IMG-20251110-WA0016.jpg
19,Mtimabi,Sun King,NA,sun king OPD,"Solar, Battery","lights, usb",1,small,140,lithium-ion,no,no,NA,NA,NA,Innovation Africa,Donor,yes,2022,Yes,NA,NA,NA,Unknown,NA,NA,no,no,no,NA,NA,"IMG-20251110-WA0021.jpg, IMG-20251110-WA0022.jpg, IMG-20251110-WA0023.jpg, IMG-20251110-WA0024.jpg, IMG-20251110-WA0025.jpg"
19,Mtimabi,Sun King,NA,sun king environmental,"Solar, Battery","lights, usb",NA,NA,140,lithium-ion,no,no,NA,NA,NA,Innovation Africa,Donor,yes,2022,Yes,NA,NA,NA,Unknown,NA,NA,no,no,no,NA,NA,NA
19,Mtimabi,Easypower,NA,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,24,large,28800,sealed-lead-acid-gel,no,yes,Easypower,10000,yes,"USAID, UKAID",Donor,yes,2018,No,2024,solar panel,kids throwing stones on roof/panels,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"IMG-20251110-WA0004.jpg, IMG-20251110-WA0005.jpg, IMG-20251110-WA0006.jpg, IMG-20251110-WA0007.jpg"
19,Mtimabi,NA,NA,random battery in Environmental,"Solar, Battery",NA,2,medium,NA,NA,NA,NA,NA,NA,NA,Innovation Africa,Donor,yes,2020,Yes,NA,NA,NA,Donor,NA,NA,Innovation Africa,no,no,NA,NA,IMG-20251110-WA0003.jpg
19,Mtimabi,NA,NA,battery in OPD,"Solar, Battery",NA,2,medium,NA,NA,NA,NA,NA,NA,NA,Innovation Africa,Donor,yes,NA,NA,NA,NA,NA,Unknown,NA,NA,no,no,no,NA,NA,NA
19,Mtimabi,B Medical,NA,Solar Vaccine Fridge,"Solar, Battery",vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,Gavi,Donor,yes,2016,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
19,Mtimabi,Vestfrost,NA,Solar Vaccine Fridge,"Solar, Battery",vaccine fridge,2,large,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
19,Mtimabi,Grundfos,NA,Solar water pump,"Solar, Battery",Water Pumps,4,large,NA,NA,NA,NA,NA,NA,NA,MoH,DHO,yes,NA,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
20,Malukula,Escom,NA,grid unstable,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,DHO/MoH/Gov,NA,NA,NA,no,no,NA,NA,NA
20,Malukula,StarTimes,NA,"battery, projector","Solar, Battery",NA,3,medium,152,LFP,no,no,NA,NA,NA,StarTimes,unknown,yes,2019,No,2023,panel,lightning,Donor,never,No,StarTimes,no,no,NA,"battery probably also broken during lightning, phone died as well. System also has a projector. Battery not yet repaired, donor came in 2024, said they repair but never came back",IMG-20251110-WA0037.jpg
20,Malukula,We care solar,NA,NA,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"IMG-20251110-WA0035.jpg, IMG-20251110-WA0036.jpg, IMG-20251110-WA0038.jpg"
20,Malukula,Vestfrost,MKS 044,Solar Vaccine Fridge,Solar,vaccine fridge,1,large,NA,NA,NA,NA,NA,NA,NA,MoH,DHO,yes,2017,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
20,Malukula,Haier,HTC-120,Solar Vaccine Fridge,Solar,vaccine fridge,1,large,NA,NA,NA,NA,NA,NA,NA,MoH,DHO,yes,2024,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
